Attack 10 40
2316 0 524 565
1737 600 524 565
2841 0 524 565
2262 600 524 565
1737 1166 524 565
3366 0 524 565
2787 566 524 565
2262 1166 524 565
3312 566 524 565
2787 1132 524 565
Climb 10 40
4689 2928 361 497
6639 1036 361 497
6262 1551 361 497
5885 1982 361 497
5464 2526 361 497
5051 3047 361 497
6639 1534 361 497
6247 2049 361 497
5826 2503 361 497
5413 3047 361 497
Dead 10 40
0 0 578 599
579 0 578 599
1158 0 578 599
0 600 578 599
579 600 578 599
0 1200 578 599
1158 600 578 599
579 1200 578 599
1158 1200 578 599
1737 0 578 599
Glide 10 40
3312 1132 505 474
0 1800 505 474
0 2275 505 474
506 1800 505 474
0 2750 505 474
506 2275 505 474
1012 1800 505 474
0 3225 505 474
506 2750 505 474
1012 2275 505 474
Idle 10 40
7001 1036 290 500
7001 1537 290 500
6609 2049 290 500
6188 2547 290 500
5775 3024 290 500
6900 2038 290 500
6479 2550 290 500
6066 3048 290 500
6770 2550 290 500
6357 3051 290 500
Jump 10 40
3891 498 399 543
4743 0 399 543
4291 498 399 543
3837 1042 399 543
5143 0 399 543
4237 1042 399 543
4691 544 399 543
3928 1586 399 543
5543 0 399 543
5091 544 399 543
Jump_Attack 10 40
1518 1800 495 583
1012 2750 495 583
2014 1732 495 583
1518 2384 495 583
2510 1732 495 583
2014 2316 495 583
1508 2968 495 583
3006 1698 495 583
2510 2316 495 583
2014 2900 495 583
Jump_Throw 10 40
506 3225 425 497
3502 1607 425 497
3006 2282 425 497
2510 2900 425 497
3502 2105 425 497
3006 2780 425 497
3432 2603 425 497
3432 3101 425 497
3891 0 425 497
317 0 425 497
Run 10 40
3858 3047 376 520
5508 1461 376 520
5110 2005 376 520
4710 2407 376 520
6711 515 376 520
4312 2905 376 520
5885 1461 376 520
6262 1030 376 520
5508 1982 376 520
5087 2526 376 520
Slide 10 40
932 3334 397 401
4637 1088 397 401
4328 1586 397 401
5943 0 397 401
5491 544 397 401
3928 2130 397 401
5035 1088 397 401
2936 3278 397 401
4726 1490 397 401
4328 1988 397 401
Throw 10 40
6341 0 383 514
5943 402 383 514
5491 946 383 514
3928 2532 383 514
5124 1490 383 514
4726 1892 383 514
4326 2390 383 514
6725 0 383 514
5875 946 383 514
6327 515 383 514
